state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_zero_position,hip_angle,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
700.708,0.001989507999496709,0.005859375,1.010009766,-0.020996094,-2.015267176,-0.091603053,1.86259542,-37537,-1,-59,0,0.526855469,0,-0.129041265081659,False,,False,,,,,34
700.718,0.008790563999355072,0.005859375,1.007324219,-0.022460938,-1.984732824,-0.183206107,1.648854962,-37537,2,-58,0,0.526855469,13.68165104,-0.1268541249955292,False,,False,,,,,34
700.728,0.011059125999963726,-0.150634766,0.804931641,-0.059326172,0.916030534,3.572519084,-15.26717557,-36571,3583,8171,0,0.504882813,8.616914674,17.872132089343324,False,,False,,,,,34
700.738,0.013060763999419578,0.747802734,1.023925781,0.115966797,-4.519083969,0.671755725,5.190839695,-34726,4021,191,0,0.197265625,-0.220894257,0.41809046768486186,False,,False,,,,,35
700.748,0.015062030999615672,-0.108886719,0.859130859,-0.0546875,-1.190839695,3.389312977,-6.93129771,-32928,3945,-53,0,0.197265625,-6.860979226,-0.11601463239422867,False,,False,,,,,34
700.758,0.01706387200010795,-0.195800781,1.010742188,-0.108642578,-1.618320611,0.519083969,-2.41221374,-31247,3545,-213,0,0.153320313,-8.794636675,-0.4662976432600171,False,,False,,,,,34
700.768,0.019069898999987345,-0.002197266,0.985351563,-0.05078125,-2.564885496,-2.045801527,2.41221374,-29800,3054,-264,0,0.153320313,-8.394745155,-0.5779463747448099,False,,False,,,,,34
700.778,0.02107107299980271,0.102539063,0.989990234,-0.0078125,-2.595419847,-0.977099237,1.099236641,-28530,2674,-260,0,0.153320313,-6.18385392,-0.5691896114911007,False,,False,,,,,34
700.788,0.0230727289999777,0.022705078,1.00390625,-0.001708984,-2.198473282,0.549618321,-0.732824427,-27443,2264,-250,0,0.153320313,-3.457573924,-0.5472977033568275,False,,False,,,,,34
700.798,0.025073755999983405,-0.044189453,1.000244141,-0.025634766,-1.832061069,0.671755725,-0.671755725,-26542,1877,-261,0,0.153320313,-1.616105634,-0.571378802304528,False,,False,,,,,34
700.808,0.02707509699939692,-0.081054688,1.19140625,-0.053222656,-3.20610687,-2.625954198,9.190839695,-26540,-673,-3101,0,-0.000488281,-2.021409432,-6.791197895269266,False,,False,,,,,34
700.818,0.02907732699986809,-0.262451172,1.0078125,-0.025878906,-3.603053435,-2.65648855,0.183206107,-26882,-743,-260,0,0.065429688,-2.764338903,-0.5693108332464424,False,,False,,,,,34
700.828,0.03107837199968344,0.105957031,0.988037109,-0.032470703,-2.625954198,-2.564885496,3.847328244,-27198,-677,-163,0,0.065429688,-1.94508318,-0.3569140993045004,False,,False,,,,,34
700.838,0.03307965800013335,0.102050781,0.983886719,0.020996094,-3.175572519,0.458015267,1.251908397,-27473,-582,-97,0,0.087402344,-1.076056907,-0.2123854853911907,False,,False,,,,,34
700.848,0.035080998999546864,-0.044433594,0.998046875,-0.011230469,-1.984732824,0.732824427,0.458015267,-27665,-322,311,0,0.087402344,-0.021372926,0.6809472779037146,False,,False,,,,,34
700.858,0.03708206299961603,-0.053710938,0.992675781,-0.024658203,-1.984732824,-0.030534351,1.374045802,-27654,150,523,0,0.087402344,0.248526507,1.145129988243224,False,,False,,,,,34
700.868,0.039084107000235235,-0.006347656,1.002929688,-0.030273438,-2.106870229,-0.335877863,2.748091603,-27530,310,352,0,0.087402344,0.239005685,0.7707184624505065,False,,False,,,,,34
700.878,0.04108528199958528,0.009033203,1.002929688,-0.017822266,-2.229007634,-0.030534351,2.595419847,-27378,339,244,0,0.087402344,0.399631192,0.5342480251077375,False,,False,,,,,34
700.888,0.04308695700001408,0.004394531,1.003173828,-0.007080078,-1.893129771,0.488549618,2.259541985,-27250,257,86,0,0.065429688,0.557267959,0.18831050638151556,False,,False,,,,,34
700.898,0.045088945999850694,-0.003662109,1.003173828,-0.010498047,-1.740458015,0.427480916,2.442748092,-27179,95,-210,0,0.087402344,0.429233886,-0.45980362816649534,False,,False,,,,,34
700.908,0.04708999099966604,-0.014404297,1.002929688,-0.027099609,-1.374045802,-0.030534351,3.419847328,-27174,-28,-229,0,0.087402344,0.686547992,-0.5014049088101306,False,,False,,,,,34
700.918,0.0490914989995872,-0.017822266,1.014160156,-0.034179688,-1.832061069,-0.79389313,4.244274809,-27194,-44,-286,0,0.087402344,0.44634592,-0.6262087507410365,False,,False,,,,,34
700.928,0.05109233999974094,0.0078125,1.00390625,-0.026367188,-2.106870229,-0.427480916,4.335877863,-27221,-60,-192,0,0.131347656,0.578655285,-0.4203471295530163,False,,False,,,,,34
700.938,0.053093495999746665,0.008056641,1.005371094,-0.016845703,-1.984732824,-0.122137405,3.877862595,-27231,-6,-216,0,0.153320313,1.017824654,-0.47286521570029905,False,,False,,,,,34
700.948,0.055094633999942744,0.004638672,1.002929688,-0.016601563,-1.832061069,-0.061068702,4.213740458,-27240,-19,-285,0,0.153320313,1.357028216,-0.6239193818267834,False,,False,,,,,34
700.958,0.05709597499935626,-0.001953125,1.003417969,-0.019775391,-1.801526718,0.122137405,4.0,-27251,-36,-332,0,0.197265625,1.832620957,-0.726733168960074,False,,False,,,,,34
700.968,0.059134019999874,0.008789063,1.003662109,-0.023193359,-1.770992366,-0.030534351,4.122137405,-27287,-109,-292,0,0.219238281,2.147005445,-0.6391404035921114,False,,False,,,,,34
700.978,0.06113532400013355,0.000976563,1.007080078,-0.026367188,-2.045801527,-0.335877863,4.0,-27338,-105,-178,0,0.241210938,2.232647838,-0.38959185374437366,False,,False,,,,,34
700.988,0.06313638800020271,0.015869141,1.009765625,-0.020751953,-1.984732824,-0.610687023,4.122137405,-27377,-63,-13,0,0.28515625,2.347029917,-0.028450235812282784,False,,False,,,,,34
700.998,0.06513770999936241,0.023925781,1.008056641,-0.022949219,-1.832061069,0.122137405,3.175572519,-27386,-14,10,0,0.28515625,2.687696148,0.021884796778679064,False,,False,,,,,34
701.008,0.06713955199938937,0.009765625,1.005371094,-0.024658203,-2.045801527,0.122137405,2.839694656,-27406,-58,-48,0,0.307128906,2.563885363,-0.10504127030702935,False,,False,,,,,34
701.018,0.06914080000024114,-0.002197266,1.006835938,-0.028076172,-2.076335878,-0.27480916,2.809160305,-27416,-2,-3,0,0.329101563,2.192614681,-0.006564718602054014,False,,False,,,,,34
701.028,0.07114188200011995,0.025146484,1.005371094,-0.026123047,-2.198473282,-0.061068702,2.381679389,-27413,7,-13,0,0.307128906,1.581950316,-0.028448677374820444,False,,False,,,,,34
701.038,0.0731435749994489,0.014892578,1.001953125,-0.025878906,-2.442748092,-0.244274809,2.351145038,-27417,4,-32,0,0.329101563,1.269734082,-0.07002366508857615,False,,False,,,,,34
701.048,0.07514510199962388,0.024414063,1.007324219,-0.025146484,-2.442748092,-0.183206107,1.526717557,-27417,-14,-76,0,0.329101563,0.896215348,-0.16630620458536835,False,,False,,,,,34
701.058,0.07714633199975651,0.010986328,1.011474609,-0.025634766,-2.473282443,-0.213740458,1.221374046,-27419,15,-25,0,0.329101563,0.455413403,-0.05470598835045011,False,,False,,,,,34
701.068,0.0791475440000795,0.017333984,1.004638672,-0.029541016,-2.717557252,-0.122137405,0.824427481,-27418,4,-1,0,0.351074219,0.471223755,-0.0021881188870710917,False,,False,,,,,34
701.078,0.08114870000008523,0.017089844,1.005126953,-0.02734375,-2.93129771,-0.335877863,0.610687023,-27420,-7,-60,0,0.351074219,0.607479473,-0.1312871332242655,False,,False,,,,,34
701.088,0.08314979999977368,0.018066406,1.001953125,-0.026611328,-3.022900763,-0.396946565,0.396946565,-27422,5,-64,0,0.351074219,0.507247169,-0.14003960877254987,False,,False,,,,,34
701.098,0.08515073399939865,0.010742188,1.007080078,-0.025146484,-3.114503817,-0.183206107,0.427480916,-27424,-12,-119,0,0.329101563,0.24726835,-0.26040050454814256,False,,False,,,,,34
701.108,0.08715264900001785,0.014404297,1.004882813,-0.023681641,-3.145038168,-0.396946565,0.030534351,-27424,-3,-95,0,0.351074219,-0.029398334,-0.20787129427175371,False,,False,,,,,34
701.118,0.08915458299998136,0.012939453,1.011962891,-0.022216797,-3.145038168,-0.549618321,-0.305343511,-27423,-3,-77,0,0.329101563,-0.255547405,-0.16849444411938636,False,,False,,,,,34
701.128,0.09115547999954288,0.010253906,0.998535156,-0.022216797,-3.145038168,-0.427480916,0.061068702,-27423,12,-44,0,0.329101563,-0.533806471,-0.09628253949679219,False,,False,,,,,34
701.138,0.0931575429995064,0.009521484,1.007324219,-0.020019531,-3.267175573,-0.244274809,0.030534351,-27422,-2,4,0,0.329101563,-0.510937587,0.008752958136072018,False,,False,,,,,34
701.148,0.09515829199972359,0.006347656,1.004638672,-0.014892578,-3.20610687,-0.335877863,0.061068702,-27422,-3,2,0,0.329101563,-0.370088393,0.004376479068036009,False,,False,,,,,34
701.158,0.09715933699953894,0.003662109,1.005615234,-0.015625,-3.083969466,-0.27480916,0.0,-27420,8,18,0,0.307128906,-0.531229342,0.039390476365136005,False,,False,,,,,34
701.168,0.09916080799939664,-0.000244141,1.000244141,-0.017089844,-2.870229008,-0.27480916,0.305343511,-27417,16,102,0,0.28515625,-0.800084249,0.22322492714252642,False,,False,,,,,34
701.178,0.10116185300012148,0.002685547,0.997802734,-0.020751953,-2.778625954,-0.366412214,0.488549618,-27412,19,175,0,0.307128906,-0.58493499,0.38296296466104446,False,,False,,,,,34
701.188,0.10316276799949264,0.009521484,1.014404297,-0.021484375,-2.748091603,-0.152671756,0.366412214,-27409,-7,147,0,0.307128906,-0.321007862,0.3216888903152773,False,,False,,,,,34
701.198,0.10516475799977343,-0.004882813,1.020263672,-0.022949219,-2.687022901,-0.183206107,0.366412214,-27407,5,204,0,0.307128906,0.039559384,0.44642539880487464,False,,False,,,,,34
701.208,0.10716652500013879,0.007324219,1.010009766,-0.022705078,-3.083969466,-0.213740458,0.854961832,-27409,-16,137,0,0.307128906,0.008271244,0.2998052923346462,False,,False,,,,,34
701.218,0.10916775499936193,-0.004394531,1.022705078,-0.013916016,-3.022900763,-0.244274809,0.305343511,-27405,8,191,0,0.307128906,-0.289357865,0.41797672143005427,False,,False,,,,,34
701.228,0.11116878099983296,-0.000732422,1.001464844,-0.024169922,-2.992366412,-0.183206107,0.79389313,-27404,6,251,0,0.307128906,-0.167918751,0.5492783093138409,False,,False,,,,,34
701.238,0.11317058599979646,0.012939453,1.004394531,-0.016113281,-3.053435115,-0.27480916,0.824427481,-27402,0,227,0,0.307128906,-0.018164886,0.49675767416032623,False,,False,,,,,34
701.248,0.11517168599948491,0.003417969,0.998779297,-0.015869141,-2.809160305,-0.183206107,0.824427481,-27401,0,262,0,0.307128906,0.048106692,0.5733502670925351,False,,False,,,,,34
701.258,0.11717262000001938,0.001220703,1.004394531,-0.015136719,-2.717557252,-0.183206107,0.977099237,-27402,0,266,0,0.307128906,-0.16303722,0.5821037062847876,False,,False,,,,,34
701.268,0.11917472099958104,0.006103516,1.004638672,-0.017578125,-2.564885496,-0.488549618,1.038167939,-27400,5,292,0,0.307128906,-0.03852092,0.6390010610344284,False,,False,,,,,34
701.278,0.12117646899969259,0.013671875,1.001708984,-0.020507813,-2.717557252,-0.152671756,0.977099237,-27400,-4,266,0,0.307128906,0.079210134,0.5821037062847876,False,,False,,,,,34
701.288,0.12317812499986758,0.002929688,1.0078125,-0.017822266,-2.717557252,-0.122137405,0.732824427,-27399,2,267,0,0.28515625,0.245030002,0.584324073990731,False,,False,,,,,34
701.298,0.12517994799964072,0.006347656,1.006347656,-0.020263672,-2.65648855,-0.213740458,0.763358779,-27401,-8,231,0,0.28515625,-0.339624972,0.5055388055874863,False,,False,,,,,34
701.308,0.12718106699958298,0.010986328,1.005126953,-0.014892578,-2.809160305,-0.427480916,0.977099237,-27391,32,357,0,0.307128906,-0.291663906,0.7812444479085308,False,,False,,,,,34
701.318,0.12918313099999068,0.010498047,1.012939453,-0.020751953,-2.839694656,-0.244274809,0.702290076,-27379,28,258,0,0.307128906,0.054074949,0.5645968279002828,False,,False,,,,,34
701.328,0.13118432400005986,0.005615234,1.0,-0.022705078,-2.748091603,-0.366412214,0.641221374,-27372,12,167,0,0.28515625,0.094120172,0.3654761062039404,False,,False,,,,,34
701.338,0.13318575699940993,0.008789063,1.005371094,-0.023193359,-2.839694656,-0.244274809,0.488549618,-27369,3,97,0,0.307128906,-0.019738577,0.2122709004121218,False,,False,,,,,34
701.348,0.13518676500007132,0.010742188,1.011474609,-0.018798828,-2.992366412,-0.305343511,0.213740458,-27367,2,125,0,0.28515625,0.044623104,0.2735599597334883,False,,False,,,,,34
701.358,0.13718831000005594,0.00390625,1.014160156,-0.018066406,-2.93129771,-0.427480916,0.519083969,-27369,-3,30,0,0.28515625,-0.360784717,0.06565439033603719,False,,False,,,,,34
701.368,0.13918968899997708,0.005371094,1.006835938,-0.016601563,-2.992366412,-0.305343511,0.183206107,-27369,5,58,0,0.28515625,-0.49133104,0.12693182131633857,False,,False,,,,,34
701.378,0.14119143700008863,0.003417969,1.009521484,-0.020263672,-2.778625954,-0.335877863,0.27480916,-27368,4,75,0,0.28515625,-0.418630328,0.16413597584009298,False,,False,,,,,34
701.388,0.1431925010001578,0.003173828,1.007324219,-0.022460938,-2.93129771,-0.458015267,0.27480916,-27368,-5,73,0,0.263183594,-0.369287426,0.15976773956405288,False,,False,,,,,34
701.398,0.14519393499995203,0.004638672,1.003173828,-0.017578125,-2.93129771,-0.305343511,0.335877863,-27370,-9,55,0,0.28515625,-0.360106692,0.12036638228273486,False,,False,,,,,34
